id,districtCode,provinceCode,nameTh,nameEn
3106,3106,20,ละหานทราย,Lahan Sai
3107,3107,20,ประโคนชัย,Prakhon Chai
3108,3108,20,บ้านกรวด,Ban Kruat
3109,3109,20,พุทไธสง,Phutthaisong
3110,3110,20,ลำปลายมาศ,Lam Plai Mat
3111,3111,20,สตึก,Satuek
3112,3112,20,ปะคำ,Pakham
3113,3113,20,นาโพธิ์,Na Pho
3114,3114,20,หนองหงส์,Nong Hong
3115,3115,20,พลับพลาชัย,Phlapphla Chai
3116,3116,20,ห้วยราช,Huai Rat
3117,3117,20,โนนสุวรรณ,Non Suwan
3118,3118,20,ชำนิ,Chamni
3119,3119,20,บ้านใหม่ไชยพจน์,Ban Mai Chaiyaphot
3120,3120,20,โนนดินแดง,Non Din Daeng
3121,3121,20,บ้านด่าน,Ban Dan
3122,3122,20,แคนดง,Khaen Dong
3123,3123,20,เฉลิมพระเกียรติ,Chaloem Phra Kiat
3201,3201,21,เมืองสุรินทร์,Mueang Surin
3202,3202,21,ชุมพลบุรี,Chumphon Buri
3203,3203,21,ท่าตูม,Tha Tum
3204,3204,21,จอมพระ,Chom Phra
3205,3205,21,ปราสาท,Prasat
3206,3206,21,กาบเชิง,Kap Choeng
3207,3207,21,รัตนบุรี,Rattanaburi
3208,3208,21,สนม,Sanom
3209,3209,21,ศีขรภูมิ,Sikhoraphum
3210,3210,21,สังขะ,Sangkha
3211,3211,21,ลำดวน,Lamduan
3212,3212,21,สำโรงทาบ,Samrong Thap
3213,3213,21,บัวเชด,Buachet
3214,3214,21,พนมดงรัก,Phanom Dong Rak
3215,3215,21,ศรีณรงค์,Si Narong
3216,3216,21,เขวาสินรินทร์,Khwao Sinarin
3217,3217,21,โนนนารายณ์,Non Narai
3301,3301,22,เมืองศรีสะเกษ,Mueang Si Sa Ket
3302,3302,22,ยางชุมน้อย,Yang Chum Noi
3303,3303,22,กันทรารมย์,Kanthararom
3304,3304,22,กันทรลักษ์,Kantharalak
3305,3305,22,ขุขันธ์,Khukhan
3306,3306,22,ไพรบึง,Phrai Bueng
3307,3307,22,ปรางค์กู่,Prang Ku
3308,3308,22,ขุนหาญ,Khun Han
3309,3309,22,ราษีไศล,Rasi Salai
3310,3310,22,อุทุมพรพิสัย,Uthumphon Phisai
3311,3311,22,บึงบูรพ์,Bueng Bun
3312,3312,22,ห้วยทับทัน,Huai Thap Than
3313,3313,22,โนนคูณ,Non Khun
3314,3314,22,ศรีรัตนะ,Si Rattana
3315,3315,22,น้ำเกลี้ยง,Nam Kliang
3316,3316,22,วังหิน,Wang Hin
3317,3317,22,ภูสิงห์,Phu Sing
3318,3318,22,เมืองจันทร์,Mueang Chan
3319,3319,22,เบญจลักษ์,Benchalak
3320,3320,22,พยุห์,Phayu
3321,3321,22,โพธิ์ศรีสุวรรณ,Pho Si Suwan
3322,3322,22,ศิลาลาด,Sila Lat
3401,3401,23,เมืองอุบลราชธานี,Mueang Ubon Ratchathani
3402,3402,23,ศรีเมืองใหม่,Si Mueang Mai
3403,3403,23,โขงเจียม,Khong Chiam
3404,3404,23,เขื่องใน,Khueang Nai
3405,3405,23,เขมราฐ,Khemarat
3407,3407,23,เดชอุดม,Det Udom
3408,3408,23,นาจะหลวย,Na Chaluai
3409,3409,23,น้ำยืน,Nam Yuen
3410,3410,23,บุณฑริก,Buntharik
3411,3411,23,ตระการพืชผล,Trakan Phuet Phon
3412,3412,23,กุดข้าวปุ้น,Kut Khaopun
3414,3414,23,ม่วงสามสิบ,Muang Sam Sip
3415,3415,23,วารินชำราบ,Warin Chamrap
3419,3419,23,พิบูลมังสาหาร,Phibun Mangsahan
3420,3420,23,ตาลสุม,Tan Sum
3421,3421,23,โพธิ์ไทร,Pho Sai
3422,3422,23,สำโรง,Samrong
3424,3424,23,ดอนมดแดง,Don Mot Daeng
3425,3425,23,สิรินธร,Sirindhorn
3426,3426,23,ทุ่งศรีอุดม,Thung Si Udom
3429,3429,23,นาเยีย,Na Yia
3430,3430,23,นาตาล,Na Tan
3431,3431,23,เหล่าเสือโก้ก,Lao Suea Kok
3432,3432,23,สว่างวีระวงศ์,Sawang Wirawong
3433,3433,23,น้ำขุ่น,Nam Khun
3501,3501,24,เมืองยโสธร,Mueang Yasothon
3502,3502,24,ทรายมูล,Sai Mun
3503,3503,24,กุดชุม,Kut Chum
3504,3504,24,คำเขื่อนแก้ว,Kham Khuean Kaeo
3505,3505,24,ป่าติ้ว,Pa Tio
3506,3506,24,มหาชนะชัย,Maha Chana Chai
3507,3507,24,ค้อวัง,Kho Wang
3508,3508,24,เลิงนกทา,Loeng Nok Tha
3509,3509,24,ไทยเจริญ,Thai Charoen
3601,3601,25,เมืองชัยภูมิ,Mueang Chaiyaphum
3602,3602,25,บ้านเขว้า,Ban Khwao
3603,3603,25,คอนสวรรค์,Khon Sawan
3604,3604,25,เกษตรสมบูรณ์,Kaset Sombun
3605,3605,25,หนองบัวแดง,Nong Bua Daeng
3606,3606,25,จัตุรัส,Chatturat
3607,3607,25,บำเหน็จณรงค์,Bamnet Narong
3608,3608,25,หนองบัวระเหว,Nong Bua Rawe
3609,3609,25,เทพสถิต,Thep Sathit
3610,3610,25,ภูเขียว,Phu Khiao
3611,3611,25,บ้านแท่น,Ban Thaen
3612,3612,25,แก้งคร้อ,Kaeng Khro
3613,3613,25,คอนสาร,Khon San
3614,3614,25,ภักดีชุมพล,Phakdi Chumphon
3615,3615,25,เนินสง่า,Noen Sa-nga
3616,3616,25,ซับใหญ่,Sap Yai
3701,3701,26,เมืองอำนาจเจริญ,Mueang Amnat Charoen
3702,3702,26,ชานุมาน,Chanuman
3703,3703,26,ปทุมราชวงศา,Pathum Ratchawongsa
3704,3704,26,พนา,Phana
3705,3705,26,เสนางคนิคม,Senangkhanikhom
3706,3706,26,หัวตะพาน,Hua Taphan
3707,3707,26,ลืออำนาจ,Lue Amnat
3801,3801,77,เมืองบึงกาฬ,Mueang Bueng Kan
3802,3802,77,เซกา,Seka
3803,3803,77,โซ่พิสัย,So Phisai
3804,3804,77,พรเจริญ,Phon Charoen
3805,3805,77,ศรีวิไล,Si Wilai
3806,3806,77,บึงโขงหลง,Bueng Khong Long
3807,3807,77,ปากคาด,Pak Khat
3808,3808,77,บุ่งคล้า,Bung Khla
3901,3901,27,เมืองหนองบัวลำภู,Mueang Nong Bua Lam Phu
3902,3902,27,นากลาง,Na Klang
3903,3903,27,โนนสัง,Non Sang
3904,3904,27,ศรีบุญเรือง,Si Bun Rueang
3905,3905,27,สุวรรณคูหา,Suwannakhuha
3906,3906,27,นาวัง,Na Wang
4001,4001,28,เมืองขอนแก่น,Mueang Khon Kaen
4002,4002,28,บ้านฝาง,Ban Fang
4003,4003,28,พระยืน,Phra Yuen
4004,4004,28,หนองเรือ,Nong Ruea
4005,4005,28,ชุมแพ,Chum Phae
4006,4006,28,สีชมพู,Si Chomphu
4007,4007,28,น้ำพอง,Nam Phong
4008,4008,28,อุบลรัตน์,Ubolratana
4009,4009,28,กระนวน,Kranuan
4010,4010,28,บ้านไผ่,Ban Phai
4011,4011,28,เปือยน้อย,Pueai Noi
4012,4012,28,พล,Phon
4013,4013,28,แวงใหญ่,Waeng Yai
4014,4014,28,แวงน้อย,Waeng Noi
4015,4015,28,หนองสองห้อง,Nong Song Hong
4016,4016,28,ภูเวียง,Phu Wiang
4017,4017,28,มัญจาคีรี,Mancha Khiri
4018,4018,28,ชนบท,Chonnabot
4019,4019,28,เขาสวนกวาง,Khao Suan Kwang
4020,4020,28,ภูผาม่าน,Phu Pha Man
4021,4021,28,ซำสูง,Sam Sung
4022,4022,28,โคกโพธิ์ไชย,Khok Pho Chai
4023,4023,28,หนองนาคำ,Nong Na Kham
4024,4024,28,บ้านแฮด,Ban Haet
4025,4025,28,โนนศิลา,Non Sila
4029,4029,28,เวียงเก่า,Wiang Kao
4101,4101,29,เมืองอุดรธานี,Mueang Udon Thani
4102,4102,29,กุดจับ,Kut Chap
4103,4103,29,หนองวัวซอ,Nong Wua So
4104,4104,29,กุมภวาปี,Kumphawapi
4105,4105,29,โนนสะอาด,Non Sa-at
4106,4106,29,หนองหาน,Nong Han
4107,4107,29,ทุ่งฝน,Thung Fon
4108,4108,29,ไชยวาน,Chai Wan
4109,4109,29,ศรีธาตุ,Si That
4110,4110,29,วังสามหมอ,Wang Sam Mo
4111,4111,29,บ้านดุง,Ban Dung
4117,4117,29,บ้านผือ,Ban Phue
4118,4118,29,น้ำโสม,Nam Som
4119,4119,29,เพ็ญ,Phen
4120,4120,29,สร้างคอม,Sang Khom
4121,4121,29,หนองแสง,Nong Saeng
4122,4122,29,นายูง,Na Yung
4123,4123,29,พิบูลย์รักษ์,Phibun Rak
4124,4124,29,กู่แก้ว,Ku Kaeo
4125,4125,29,ประจักษ์ศิลปาคม,Prachaksinlapakhom
4201,4201,30,เมืองเลย,Mueang Loei
4202,4202,30,นาด้วง,Na Duang
4203,4203,30,เชียงคาน,Chiang Khan
4204,4204,30,ปากชม,Pak Chom
4205,4205,30,ด่านซ้าย,Dan Sai
4206,4206,30,นาแห้ว,Na Haeo
4207,4207,30,ภูเรือ,Phu Ruea
4208,4208,30,ท่าลี่,Tha Li
4209,4209,30,วังสะพุง,Wang Saphung
4210,4210,30,ภูกระดึง,Phu Kradueng
4211,4211,30,ภูหลวง,Phu Luang
4212,4212,30,ผาขาว,Pha Khao
4213,4213,30,เอราวัณ,Erawan
4214,4214,30,หนองหิน,Nong Hin
4301,4301,31,เมืองหนองคาย,Mueang Nong Khai
4302,4302,31,ท่าบ่อ,Tha Bo
4305,4305,31,โพนพิสัย,Phon Phisai
4307,4307,31,ศรีเชียงใหม่,Si Chiang Mai
4308,4308,31,สังคม,Sangkhom
4314,4314,31,สระใคร,Sakhrai
4315,4315,31,เฝ้าไร่,Fao Rai
4316,4316,31,รัตนวาปี,Rattanawapi
4317,4317,31,โพธิ์ตาก,Pho Tak
4401,4401,32,เมืองมหาสารคาม,Mueang Maha Sarakham
4402,4402,32,แกดำ,Kae Dam
4403,4403,32,โกสุมพิสัย,Kosum Phisai
4404,4404,32,กันทรวิชัย,Kantharawichai
4405,4405,32,เชียงยืน,Chiang Yuen
4406,4406,32,บรบือ,Borabue
4407,4407,32,นาเชือก,Na Chueak
4408,4408,32,พยัคฆภูมิพิสัย,Phayakkhaphum Phisai
4409,4409,32,วาปีปทุม,Wapi Pathum
4410,4410,32,นาดูน,Na Dun
4411,4411,32,ยางสีสุราช,Yang Sisurat
4412,4412,32,กุดรัง,Kut Rang
4413,4413,32,ชื่นชม,Chuen Chom
4501,4501,33,เมืองร้อยเอ็ด,Mueang Roi Et
4502,4502,33,เกษตรวิสัย,Kaset Wisai
4503,4503,33,ปทุมรัตต์,Pathum Rat
4504,4504,33,จตุรพักตรพิมาน,Chaturaphak Phiman
4505,4505,33,ธวัชบุรี,Thawat Buri
4506,4506,33,พนมไพร,Phanom Phrai
4507,4507,33,โพนทอง,Phon Thong
4508,4508,33,โพธิ์ชัย,Pho Chai
4509,4509,33,หนองพอก,Nong Phok
4510,4510,33,เสลภูมิ,Selaphum
4511,4511,33,สุวรรณภูมิ,Suwannaphum
